LOADZONE,over_gen_cost,load_shedding_cost
Diego de Almagro 220,5000,5000
Diego de Almagro 220 Aux,5000,5000
Carrera Pinto 220,5000,5000
Cardones 500,5000,5000
Cardones 220,5000,5000
Maitencillo 500,5000,5000
Maitencillo 220,5000,5000
Punta Colorada 220,5000,5000
Don Hector 220,5000,5000
Don Hector 220 Aux,5000,5000
Pan de Azucar 500,5000,5000
Pan de Azucar 220,5000,5000
Las Palmas 220,5000,5000
Los Vilos 220,5000,5000
Nogales 220,5000,5000
Quillota 220,5000,5000
San Luis 220,5000,5000
Agua Santa 220,5000,5000
Agua Santa 110,5000,5000
Quillota 110,5000,5000
Las Vegas 110,5000,5000
Polpaico 500,5000,5000
Polpaico 220,5000,5000
Polpaico Desf 220,5000,5000
Lampa 220,5000,5000
Cerro Navia 220,5000,5000
Cerro Navia 110,5000,5000
Chena 110,5000,5000
Los Almendros 220,5000,5000
Chena 220,5000,5000
El Rodeo 220,5000,5000
Maipo 220,5000,5000
Candelaria 220,5000,5000
Colbun 220,5000,5000
Los Almendros 110,5000,5000
Alto Jahuel 220,5000,5000
Alto Jahuel 500,5000,5000
Alto Jahuel 110,5000,5000
Melipilla 220,5000,5000
Rapel 220,5000,5000
Alto Jahuel 154,5000,5000
Itahue 154,5000,5000
Itahue 220,5000,5000
Ancoa 500,5000,5000
Ancoa 500 Aux Sur,5000,5000
Ancoa 500 Aux,5000,5000
Ancoa 220,5000,5000
Charrua 220,5000,5000
Charrua 500,5000,5000
Nueva Charrua 500,5000,5000
Nueva Charrua 220,5000,5000
Hualpen 220,5000,5000
Lagunillas 220,5000,5000
Temuco 220,5000,5000
Ciruelos 220,5000,5000
Valdivia 220,5000,5000
Rahue 220,5000,5000
Puerto Montt 220,5000,5000
Puerto Montt 220 Aux,5000,5000
Cautin 220,5000,5000
El Salto 220,5000,5000
El Salto 110,5000,5000
Los Maquis 220,5000,5000
Los Maquis 220 Aux,5000,5000
Pichirropulli 220,5000,5000
Pichirropulli 220 Aux,5000,5000
Lo Aguirre 500,5000,5000
Lo Aguirre 220,5000,5000
Alto Jahuel 500 Aux,5000,5000
Polpaico 500 Aux,5000,5000
Puerto Montt 500,5000,5000
Carrera Pinto 220 Aux,5000,5000
Los Changos 500,5000,5000
Cumbre 500,5000,5000
Cumbre 220 Aux,5000,5000
Los Changos 220,5000,5000
Cumbre 220,5000,5000
Puente Negro 220,5000,5000
Chiloe 220,5000,5000
Don Goyo 220,5000,5000
Don Goyo 220 Aux,5000,5000
El Llano 220,5000,5000
La Cebada 220,5000,5000
La Cebada 220 Aux,5000,5000
Maitencillo 220 Aux,5000,5000
Melipulli 220,5000,5000
Nueva Valdivia 220,5000,5000
Nueva Valdivia 220 Aux,5000,5000
Pan de Azucar 220 Aux,5000,5000
Punta Colorada 220 Aux,5000,5000
San Andres 220,5000,5000
San Andres 220 Aux,5000,5000
Duqueco 220,5000,5000
Monte Redondo 220,5000,5000
Mulchen 220,5000,5000
Talinay 220,5000,5000
El Rosal 220,5000,5000
Pichirrahue 220,5000,5000
Ciruelos 500,5000,5000
Algarrobal 220,5000,5000
Algarrobal 220 Aux,5000,5000
Rio Malleco 220,5000,5000
Rio Tolten 220,5000,5000
Rio Tolten 220 Aux,5000,5000
Frutillar Norte 220,5000,5000
Frutillar Norte 220 Aux,5000,5000
Cerros de Huichahue 220 Aux,5000,5000
Cerros de Huichahue 220,5000,5000
Punta Sierra 220 Aux,5000,5000
Punta Sierra 220,5000,5000
Tap Mauro 220,5000,5000
Pta Barranco 220 Aux,5000,5000
Pta San Gallan 220,5000,5000
Pta Barranco 220,5000,5000
Pta Barranco 220 Aux II,5000,5000
Pta Barranco 220 II,5000,5000
Pta San Gallan 220 II,5000,5000
Ancud 220,5000,5000
Nueva Casablanca Aux 220,5000,5000
Nueva Casablanca 220,5000,5000
La Polvora Aux 220,5000,5000
La Polvora 220,5000,5000
Agua Santa Aux 220,5000,5000
Mataquito Aux 220,5000,5000
Mataquito 220,5000,5000
Nueva Nirivilo Aux 220,5000,5000
Nueva Nirivilo 220,5000,5000
Nueva Cauquenes Aux 220,5000,5000
Nueva Cauquenes 220,5000,5000
Dichato Aux 220,5000,5000
Dichato 220,5000,5000
Hualqui Aux 220,5000,5000
Hualqui 220,5000,5000
Parral 066,5000,5000
Parral 154,5000,5000
