TIMEPOINT,G4,G3,V1
1,114.736842105,100.0,80.0
2,114.736842105,100.0,80.0
3,114.736842105,100.0,80.0
4,114.736842105,100.0,80.0
5,114.736842105,100.0,80.0
6,114.736842105,100.0,80.0
7,120.0,100.0,80.0
8,120.0,100.0,80.0
9,120.0,100.0,80.0
10,120.0,100.0,80.0
11,120.0,100.0,80.0
12,120.0,100.0,80.0
13,120.0,100.0,80.0
14,120.0,100.0,80.0
15,120.0,100.0,80.0
16,120.0,100.0,80.0
17,120.0,100.0,80.0
18,120.0,100.0,80.0
19,120.0,100.0,80.0
20,120.0,100.0,80.0
21,120.0,100.0,80.0
22,120.0,100.0,80.0
23,120.0,100.0,80.0
24,120.0,100.0,80.0
