TIMEPOINT,C,S,N
1,0.0,1.59872115546e-14,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,1.7763568394e-15,0.0
5,0.0,8.881784197e-16,0.0
6,0.0,0.0,4.4408920985e-16
7,0.0,6.43929354283e-15,0.0
8,0.0,0.0,8.881784197e-16
9,0.0,4.4408920985e-16,0.0
10,0.0,0.0,8.881784197e-16
11,2.22044604925e-16,0.0,0.0
12,0.0,1.66533453694e-16,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,5.55111512313e-17,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
